position,target,model,is_baseline,mae,rmse,spearman,folds
QB,carries,two_year_weighted_average,true,12.495294269886767,20.11308322641585,0.6179849914919648,8
TE,fumbles_lost,ridge,false,0.15802662114068586,0.30552488795253857,0.26779345566276425,8
TE,rushing_yards,elastic_net,false,2.8637012113236673,19.605001118823395,0.16289246834023696,8
TE,rushing_tds,previous_season_per_game,true,0.04339534057636668,0.29426332040102476,0.29683396880552704,8
WR,receiving_yards,ridge,false,145.31808031451288,202.369189309826,0.7624265245505657,8
QB,passing_yards,previous_season_total,true,759.8197500849806,1215.0518010780384,0.5957816751494156,8
WR,fantasy_points_ppr,position_age_group_average,true,56.81592790633776,73.66080404132953,0.23515262825099956,8
RB,receiving_yards,two_year_weighted_average,true,66.92083401736957,110.77391328334238,0.5657687666525693,8
QB,completions,two_year_weighted_average,true,70.05926366258306,111.09180783859578,0.5841835943629654,8
QB,interceptions,position_age_group_average,true,3.9492480228865467,4.624556864362792,0.10923507517569317,8
WR,fumbles_lost,elastic_net,false,0.1604344261325018,0.31130871946830435,0.3170142623955807,8
RB,targets,previous_season_total,true,10.969663803261488,17.55846822568359,0.5702892828858517,8
QB,fumbles_lost,previous_season_per_game,true,1.161614714553451,1.8482853282862488,0.40538237505264,8
QB,carries,position_age_group_average,true,18.056252877129815,26.311577466953082,0.2068407180792796,8
RB,receiving_tds,previous_season_total,true,0.5120923106116398,1.1019233944224396,0.35058694379981076,8
RB,rushing_tds,two_year_weighted_average,true,1.318438277219161,2.544007583839277,0.5462894178662251,8
RB,receptions,previous_season_per_game,true,8.446586270726764,13.78718580539002,0.5726906247736785,8
WR,targets,previous_season_total,true,19.787566708500158,29.447109640598203,0.6373021622758496,8
QB,fantasy_points_ppr,position_age_group_average,true,91.41810432577391,109.77275785311043,0.09074799578564853,8
RB,receiving_tds,position_age_group_average,true,0.5709978090014011,0.9684261309504689,0.17110972220343068,8
QB,fumbles_lost,ridge,false,0.9082819401064033,1.306422797700524,0.5914893333383033,8
RB,receptions,three_year_weighted_average,true,8.446586270726764,13.78718580539002,0.5726901016296171,8
TE,carries,ridge_baseline,true,0.6438455467782153,4.439026360334294,0.20862857839316867,8
WR,rushing_yards,elastic_net,false,7.614701622147107,16.5331645389477,0.42256580302568136,8
QB,interceptions,three_year_weighted_average,true,3.385280643304622,4.971006900417255,0.4788043113005602,8
